"wis","wwis","c","wc","sdi","n","e","fqi","loc","graminoid","forb","tree","shrub","vine","p_graminoid","p_forb","p_shrub","p_tree","p_vine","ave_cover","bg","ld"
3.11214285714286,3.34455252918288,3.27346041055718,14.8687683284457,0.928464063921522,29,7,18.8438564763758,"af3",17,16,1,2,0,72.5,48.5,2,6,0,159,18,12
3.03263888888889,3.4406162464986,3.32344276094276,16.6700336700337,0.911559619057287,33,7,20.8273365190025,"bs1",22,18,0,0,0,151.5,30.5,0,0,0,198.5,1,15.5
3.19166666666667,3.36572164948454,3.28219696969697,19.0272727272727,0.924570419406677,18,9,15.4724248964178,"op2",13,14,0,0,0,133,61,0,0,0,213.5,8,11.5
3.04583333333333,3.00923344947735,3.21363636363636,12.5798701298701,0.949313818280151,36,10,18.7462121212121,"pd2",31,15,0,0,0,128,18.5,0,0,0,172,9.5,16
3.42954545454545,3.56005747126437,3.24568263277941,17.6999429781688,0.901218842250783,30,3,18.3699137889191,"r3",10,20,0,3,0,127,30.5,16.5,0,0,203.5,2,27.5
3.07767857142857,3.17216257668712,3.94349747474747,24.0667613636364,0.897337448206131,23,5,19.7346255667806,"sem4",15,13,0,0,0,136,27,0,0,0,194.5,1,30.5
3.43482142857143,3.24175749318801,3.7671277997365,22.6302700922266,0.932021918638418,22,8,18.47254994666,"swm1",15,15,0,0,0,144.5,40,0,0,0,199,4.5,10
3.23916666666667,3.08394736842105,3.82575757575758,23.4260606060606,0.907150256783266,24,7,19.5232373754025,"swm2",17,14,0,0,0,165,25.5,0,0,0,213,0.5,22
3.08920454545455,3.05201612903226,3.60749385749386,13.8310810810811,0.959641444322868,34,12,22.8911634214081,"bin2",20,25,0,1,0,114.5,80,1,0,0,218,10,12.5
2.30576923076923,2.35399305555556,4.15214646464646,22.8551136363636,0.95300875171005,35,5,25.2662706061339,"bin4",24,16,0,0,0,143,73.5,0,0,0,231,3.5,11
3.27265625,3.16761904761905,4.42045454545455,20.9587542087542,0.930950090538705,27,7,22.9693555958282,"cav1",21,13,0,0,0,139.5,21,0,0,0,188,3.5,24
3.55065789473684,3.65375399361022,3.2568870523416,12.2634297520661,0.942306292314786,31,12,19.3034880291959,"cav3",25,18,0,0,0,126,48,0,0,0,203,18.5,10.5
3.02890625,3.44604105571847,4.09909090909091,16.4945454545455,0.938978682766335,25,10,20.4954545454545,"cwr1",23,12,0,0,0,130,46.5,0,0,0,195.5,9,10
